204,"RT @ArmandConant: The Government has announced October 17, 2018 as the date the #Cannabis Act (Bill C-45) comes into force. The announcemen…"
205,"RT @ArmandConant: To be clear, as of October 17, 2018, all adult Canadians will have legal access to cannabis for recreational use. Time wi…"
206,"RT @ArmandConant: The Government has announced October 17, 2018 as the date the #Cannabis Act (Bill C-45) comes into force. The announcemen…"
207,"@PhilipAuthier It could be an election issue here, with the party that promises to amend the law -- and give Quebec… https://t.co/oC36ri8qKL"
208,RT @PiccoloHeathLLP: It’s the Law – Canada Comes Out of the Weeds.  Read our PH Report from @CindyIngramLLB about yesterday's passing of #B…
209,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…
210,"RT @ArmandConant: To be clear, as of October 17, 2018, all adult Canadians will have legal access to cannabis for recreational use. Time wi…"
211,"To be clear, as of October 17, 2018, all adult Canadians will have legal access to cannabis for recreational use. T… https://t.co/NSqgNZQOZr"
212,#CannabisAct: The morning after comes with supply anxiety https://t.co/TIsQ85KXku #Cannabis #BillC45
213,"RT @ArmandConant: The Government has announced October 17, 2018 as the date the #Cannabis Act (Bill C-45) comes into force. The announcemen…"
214,"The Government has announced October 17, 2018 as the date the #Cannabis Act (Bill C-45) comes into force. The annou… https://t.co/25MNA0YkrH"
215,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…
216,"RT @JLaC975: October 17th, three full grown #marijuana plants will magically appear on Nan's doorstep.

Fast growing Nan ... you sly S.O.B.…"
217,RT @CannTrust: Canada made history today in voting to pass #BillC45 and moving to legalization the recreational use of cannabis. What a tim…
218,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…
219,RT @CannabisNews: Cannabis is now legal under #BillC45. #cannabis #Marijuana #CannabisCommunity #CannabisCulture #cannabisnews #weed #pot #…
220,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…
221,"#BigPharma #Druglord #Trudope states his new ""#Cannabis #Recreational #Regime"" will start Oct 17/18, which is an… https://t.co/S7yv4VyhLj"
222,Happening now: @StuJT chairing our inaugural Talking Points event bringing together a panel of experts to discuss t… https://t.co/wkfxmuspfh
